blz,bankname,lkz
25152375,Kreissparkasse Fallingbostel in Walsrode,DE
25152490,Stadtsparkasse Wunstorf,DE
25161322,Volksbank Burgdorf-Celle -alt-,DE
25162563,Volksbank Garbsen -alt-,DE
25190001,Hannoversche Volksbank,DE
25190101,Lindener Volksbank -alt-,DE
25191510,Volksbank -alt-,DE
25193331,Volksbank,DE
25250001,Kreissparkasse Peine,DE
25260010,Volksbank Peine,DE
25400000,Bundesbank eh Hameln,DE
25410111,SEB,DE
25410200,BHW Bausparkasse,DE
25410300,BHW Allgemeine Bausparkasse -alt-,DE
25430000,UniCredit Bank - HypoVereinsbank (ex VereinWest),DE
25440047,Commerzbank,DE
